615	369	2.150253	9999999.0	0.0	0.0	0	0	16	6	[]
471	390	8.671993	7466.0	3442.0	0.9999972623203311	1.0	145	0	0	[471, 812, 700, 698, 688, 686, 676, 674, 605, 603, 396, 395, 394, 393, 392, 391, 390]
33	781	24.0659291	12980.0	5845.0	0.9405688571058426	1.0	367	3	2	[33, 579, 544, 522, 529, 528, 530, 531, 532, 497, 496, 492, 493, 494, 495, 435, 436, 437, 535, 536, 398, 603, 604, 583, 807, 803, 804, 798, 794, 786, 781]
61	932	9.6462198	9742.0	3868.0	0.9969455832432453	1.0	141	0	0	[61, 607, 536, 535, 437, 436, 435, 495, 494, 493, 492, 496, 497, 532, 531, 530, 528, 527, 525, 526, 542, 533, 932]
393	897	44.8741358	13992.0	5942.0	0.9353891084268846	0.128	667	13	33	[393, 394, 395, 396, 397, 402, 403, 404, 487, 486, 534, 485, 479, 478, 477, 476, 503, 634, 639, 641, 648, 650, 841, 843, 847, 857, 885, 891, 896, 442, 897]
788	517	254.1569839	18167.0	8419.0	0.8326247208668235	0.0	2938	228	806	[788, 787, 789, 795, 797, 803, 807, 583, 604, 603, 398, 397, 402, 403, 404, 487, 486, 534, 485, 479, 478, 477, 476, 503, 504, 505, 506, 507, 508, 666, 665, 667, 849, 853, 906, 907, 516, 517]
195	882	36.5717329	16431.0	7740.0	0.8691033948349336	0.0018	208	256	195	[195, 741, 747, 745, 756, 767, 583, 393, 600, 602, 671, 721, 723, 727, 729, 412, 733, 735, 865, 867, 870, 873, 460, 876, 879, 882]
49	901	4.6103387	6979.0	3434.0	0.9999999977302308	1.0	65	0	0	[49, 595, 611, 613, 553, 434, 435, 495, 494, 493, 492, 496, 497, 532, 531, 530, 528, 527, 525, 540, 901]
561	896	7.8532414	9585.0	4147.0	0.9999998626685017	1.0	97	1	0	[561, 566, 498, 568, 572, 576, 577, 644, 651, 451, 450, 449, 448, 447, 446, 445, 444, 443, 442, 896]
768	463	4.8858766	13276.0	5632.0	0.8526229893988465	0.0	81	0	0	[768, 770, 584, 586, 603, 605, 674, 676, 686, 688, 698, 700, 812, 471, 470, 469, 468, 467, 457, 466, 465, 464, 463]
394	349	1.5058533	9999999.0	0.0	0.0	0	0	13	3	[]
2	780	12.1072043	11464.0	5336.0	0.9981675625169674	1.0	173	17	6	[2, 548, 546, 620, 619, 597, 598, 431, 430, 427, 426, 425, 424, 423, 422, 421, 420, 753, 748, 749, 745, 791, 787, 782, 781, 780]
229	883	11.3972074	13232.0	5271.0	0.9996346083682554	1.0	192	1	0	[229, 775, 589, 591, 608, 610, 679, 403, 404, 405, 406, 407, 408, 537, 473, 472, 471, 470, 469, 468, 467, 457, 466, 465, 464, 880, 883]
370	365	45.274255	20369.0	9316.0	0.9690454863912596	0.794	688	1	4	[370, 916, 781, 786, 794, 798, 804, 803, 807, 583, 604, 603, 398, 536, 535, 437, 436, 435, 495, 494, 493, 492, 496, 497, 532, 531, 530, 528, 527, 525, 526, 542, 902, 515, 905, 908, 911, 365]
849	378	20.554433	16589.0	6744.0	0.9995675779478261	1.0	292	0	0	[849, 850, 668, 666, 508, 507, 506, 505, 504, 503, 476, 477, 478, 479, 485, 534, 486, 487, 404, 403, 402, 605, 603, 396, 395, 394, 393, 392, 391, 390, 387, 389, 924, 378]
