Time(s)	Cost(PB)	Time	P(T<T_max)	Bound	Infeasibility	Dominance	Path
43	796	0.015624284744262695	4754.0	2314.0	0.7768	2	45	24	[43, 589, 590, 401, 585, 771, 769, 760, 761, 757, 800, 796]
632	892	0.015625476837158203	7434.0	3868.0	0.8405	12	34	14	[632, 502, 634, 505, 639, 641, 648, 650, 453, 841, 843, 848, 858, 886, 892]
575	342	0.015626192092895508	6307.0	2981.0	0.6779	5	42	31	[575, 530, 523, 522, 511, 510, 666, 668, 850, 852, 860, 888, 342]
541	615	0.0	5794.0	3776.0	0.7803	30	105	163	[541, 526, 528, 529, 531, 532, 533, 498, 497, 493, 494, 561, 560, 556, 555, 622, 615]
17	444	0.01558232307434082	9157.0	4108.0	0.8354	22	88	134	[17, 563, 564, 565, 569, 573, 577, 578, 524, 525, 452, 451, 450, 449, 448, 447, 446, 445, 444]
56	852	0.015622854232788086	10124.0	5499.0	0.6087	23	118	222	[56, 602, 607, 606, 403, 404, 405, 488, 487, 535, 486, 480, 479, 478, 477, 504, 505, 506, 507, 508, 509, 667, 666, 668, 850, 852]
393	892	0.01562190055847168	12980.0	6304.0	0.588	10	109	77	[393, 394, 395, 396, 397, 398, 403, 404, 405, 488, 487, 535, 486, 480, 479, 478, 477, 504, 635, 640, 642, 649, 651, 842, 844, 848, 858, 886, 892]
349	231	0.0	15132.0	6785.0	0.7064	5	91	90	[349, 895, 889, 862, 466, 467, 458, 468, 469, 470, 471, 472, 473, 475, 476, 477, 478, 479, 480, 486, 535, 438, 439, 440, 441, 596, 594, 427, 779, 777, 231]
38	14	0.0	5078.0	3225.0	0.7628	11	62	71	[38, 584, 588, 397, 604, 399, 537, 536, 438, 437, 556, 560, 14]
570	186	0.01561737060546875	7630.0	3951.0	0.8428	2	48	15	[570, 571, 634, 635, 705, 706, 474, 701, 702, 697, 698, 736, 737, 733, 732, 186]
895	306	0.015581369400024414	8946.0	3543.0	0.8109	0	44	44	[895, 896, 891, 897, 443, 444, 445, 446, 447, 849, 853, 852, 306]
347	799	0.015633106231689453	15474.0	8130.0	0.6339	84	137	218	[347, 893, 887, 859, 849, 665, 663, 655, 653, 646, 507, 506, 505, 504, 477, 478, 479, 480, 486, 535, 487, 488, 405, 404, 403, 606, 604, 397, 588, 584, 808, 804, 805, 799]
558	730	0.0	5427.0	3008.0	0.7494	11	100	133	[558, 557, 630, 626, 485, 484, 480, 483, 693, 694, 408, 689, 690, 685, 686, 730]
